LOCATION,ROTATION,LONGITUDE,LATITUDE
56 Ave And King George Blvd,320,-122.8357098,49.10554357
56 Ave And King George Blvd,120,-122.8351017,49.10516444
56 Ave And 152 St,270,-122.801663,49.10441869
56 Ave And 152 St,90,-122.8003975,49.10441651
56 Ave And 152 St,180,-122.8010245,49.10414956
Fraser Hwy And 176 St,180,-122.734731,49.13778797
Fraser Hwy And 176 St,300,-122.7352689,49.13835145
Fraser Hwy And 176 St,125,-122.7342902,49.13795402
72 Ave And 196 St,0,-122.6795767,49.13361013
105A Ave And Whalley Blvd,0,-122.8424194,49.19442147
60 Ave And 172 St,0,-122.7460278,49.11151586
105A Ave And University Dr,0,-122.8508667,49.19446477
